                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99083,                0.99546,                0.99983,                 2.4412,               0.005921,               0.005921,               0.005921
                      2,                0.33285,                0.97799,                0.99977,                 2.4624,              0.0090052,              0.0090052,              0.0090052
                      3,                0.25001,                0.99678,                      1,                 2.4327,              0.0080104,              0.0080104,              0.0080104
                      4,                0.17633,                0.99776,                      1,                 2.4303,              0.0070156,              0.0070156,              0.0070156
                      5,                0.14066,                0.99856,                      1,                 2.4293,              0.0060208,              0.0060208,              0.0060208
                      6,                 0.1259,                0.99902,                0.99994,                 2.4274,               0.005026,               0.005026,               0.005026
                      7,                0.10243,                0.99943,                      1,                 2.4268,              0.0040311,              0.0040311,              0.0040311
                      8,                0.08259,                0.99977,                      1,                 2.4263,              0.0030363,              0.0030363,              0.0030363
                      9,                0.05897,                0.99989,                      1,                 2.4261,              0.0020415,              0.0020415,              0.0020415
                     10,                0.04568,                0.99989,                      1,                 2.4261,              0.0010467,              0.0010467,              0.0010467
