                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8322,                0.76816,                0.98155,                  2.843,              0.0033326,              0.0033326,              0.0033326
                      2,                0.92515,                0.97822,                0.99868,                 2.4835,              0.0065999,              0.0065999,              0.0065999
                      3,                0.55094,                0.98937,                0.99994,                 2.4533,              0.0098012,              0.0098012,              0.0098012
                      4,                0.38042,                0.99718,                0.99989,                  2.436,               0.009703,               0.009703,               0.009703
                      5,                0.26476,                0.99805,                0.99989,                 2.4309,               0.009604,               0.009604,               0.009604
                      6,                0.22821,                0.99902,                0.99994,                 2.4288,               0.009505,               0.009505,               0.009505
                      7,                0.19887,                0.99954,                0.99994,                 2.4276,               0.009406,               0.009406,               0.009406
                      8,                 0.1899,                0.99902,                0.99994,                 2.4276,               0.009307,               0.009307,               0.009307
                      9,                0.17448,                0.99966,                0.99994,                  2.427,               0.009208,               0.009208,               0.009208
                     10,                0.16296,                0.99977,                0.99994,                 2.4269,               0.009109,               0.009109,               0.009109
                     11,                0.15747,                0.99983,                0.99994,                 2.4266,                0.00901,                0.00901,                0.00901
                     12,                0.15412,                0.99983,                0.99994,                 2.4265,               0.008911,               0.008911,               0.008911
                     13,                 0.1488,                0.99983,                      1,                 2.4265,               0.008812,               0.008812,               0.008812
                     14,                 0.1377,                0.99989,                      1,                 2.4264,               0.008713,               0.008713,               0.008713
                     15,                0.13342,                0.99989,                      1,                 2.4264,               0.008614,               0.008614,               0.008614
                     16,                0.13083,                0.99983,                      1,                 2.4263,               0.008515,               0.008515,               0.008515
                     17,                0.12998,                0.99983,                      1,                 2.4263,               0.008416,               0.008416,               0.008416
                     18,                0.12477,                0.99983,                      1,                 2.4263,               0.008317,               0.008317,               0.008317
                     19,                0.12267,                0.99983,                      1,                 2.4262,               0.008218,               0.008218,               0.008218
                     20,                0.12026,                0.99983,                      1,                 2.4262,               0.008119,               0.008119,               0.008119
