fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.99994,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.99997,0.01,0.00992,0.92979,0.0005,3.10534,0.79561,7.78766,0.50932,1.46224,0.01542,0.7,0.39702,0.0,0.10704,0.5,0.0,0.0,0.0,0.53313,0.0,0.99593,0.0,0.0
1.0,0.01051,0.00984,0.93374,0.00052,3.27106,0.82417,7.78766,0.49458,1.45499,0.01601,0.72291,0.40195,0.0,0.10803,0.46926,0.0,0.0,0.0,0.53313,0.0,0.994,0.0,0.0
0.99997,0.01,0.00995,0.92963,0.0005,3.08201,0.79325,7.81473,0.50853,1.45828,0.01539,0.7,0.39916,0.0,0.10711,0.49913,0.0,0.0,0.0,0.53061,0.0,0.99739,0.0,0.0
1.0,0.00986,0.00994,0.90317,0.00054,3.49121,0.77243,7.78766,0.50932,1.69678,0.01609,0.78338,0.42847,0.0,0.10023,0.50961,0.0,0.0,0.0,0.62367,0.0,0.99593,0.0,0.0
1.0,0.01143,0.00984,0.87021,0.00052,2.82088,0.91093,5.8015,0.53697,1.45499,0.01588,0.79538,0.41555,0.0,0.13033,0.53935,0.0,0.0,0.0,0.53313,0.0,0.90342,0.0,0.0
0.99997,0.00986,0.01007,0.90317,0.00055,4.02595,0.77243,8.09645,0.56925,1.7792,0.01532,0.78656,0.42847,0.0,0.10678,0.44181,0.0,0.0,0.0,0.66021,0.0,1.0,0.0,0.0
1.0,0.00899,0.01022,0.88732,0.00055,3.49121,0.77243,7.78766,0.47735,1.79774,0.0177,0.77319,0.50509,0.0,0.10665,0.52396,0.0,0.0,0.0,0.60171,0.0,1.0,0.0,0.0
1.0,0.01214,0.00984,0.84202,0.00057,2.82088,0.73721,5.00905,0.50669,1.06034,0.01588,0.79538,0.47784,0.0,0.13033,0.43402,0.0,0.0,0.0,0.60965,0.0,0.83804,0.0,0.0
1.0,0.0093,0.00923,0.90317,0.00044,3.41809,0.77156,7.89965,0.41952,1.69299,0.01609,0.78338,0.4964,0.0,0.10149,0.45187,0.0,0.0,0.0,0.61178,0.0,0.99593,0.0,0.0
